ID,Ten_san_pham,Danh_muc,Gia_hien_tai,Gia_goc,Ty_le_giam,Ty_le_hoa_hong,Luong_ban,Diem_danh_gia,Ten_shop,Link_goc,Link_affiliate,Van_de_giai_quyet,Doi_tuong_phu_hop,Uu_diem,Han_che,Goc_noi_dung,Ngay_kiem_tra,Chon_test_Threads
P01,Thao lau chan silicon sieu tham 40x60cm (X04),Nha tam/Do gia dung,44900,,CAN KIEM TRA,CAN KIEM TRA,40k+/thang,4.9,CAN KIEM TRA,CAN KIEM TRA,https://s.shopee.vn/9AMoS3Frd7,San uot sau khi tam - tham vai am moc hoi,Nha tro/nha co nguoi gia tre nho,Tham nuoc cuc nhanh - de cao su chong tron - xit rua la sach,Kich thuoc co dinh - khong hop nha tam qua rong,"Before-after san kho; do re duoi 50k dang mua; nha tro",2026-07-07,CO
P02,Den cam ung dan tuong Yosunlix (sac USB),Chieu sang/Nha tro,38000,,CAN KIEM TRA,CAN KIEM TRA,CAN KIEM TRA,4.8,Yosunlix,CAN KIEM TRA,https://s.shopee.vn/6VM3Q9L9IP,Toi khong tien bat den - hanh lang/cau thang/tu bep toi,Nha tro/phong ngu/gac lung,Dan khong can khoan - cam ung tu sang - sac USB khong ton pin,Do sang vua phai - khong thay den chinh,"Mon nho tien loi; nha tro; ke ban dem di ve sinh",2026-07-07,CO
P03,Bo hop bao quan thuc pham DELIxVUSIGN (15 chi tiet),Nha bep/Bao quan,199000,,CAN KIEM TRA,CAN KIEM TRA,10k+/thang,4.9,DELIxVUSIGN,CAN KIEM TRA,https://s.shopee.vn/8AUHGDJfet,Tu lanh bua - do an lan mui - do an nhanh hong,Nguoi noi tro/gia dinh nau an,Nap dau kin khong lan mui - du size - dung duoc lo vi song,Gia nhinh hon hop le - can cho tu lanh du cho,"Meo don tu lanh; truoc-sau; danh sach mon nha bep dang mua",2026-07-07,CO
P04,Cay lau nha tu vat Parroti MG01,Don dep/Nha cua,255000,,CAN KIEM TRA,CAN KIEM TRA,50k+/thang,4.9,Parroti,CAN KIEM TRA,https://s.shopee.vn/80Ar3uKIzq,Cui khom vat gie - tay uot ban khi lau nha,Nha san gach/go - ai luoi vat gie,Tu vat khong cham nuoc ban - ban xoay 360 - san kho nhanh,Bong lau lau ngay phai thay - gia nhinh hon cay thuong,"Review that co uu-nhuoc; mon dang tien nhat; nha co tre con",2026-07-07,CO
P05,Combo 50 moc dan tuong sieu chac chiu luc,Sap xep/Nha tro,11500,,CAN KIEM TRA,CAN KIEM TRA,10k+/thang,4.9,CAN KIEM TRA,CAN KIEM TRA,https://s.shopee.vn/6AjD1XMPyN,Thieu cho treo do - khoan tuong phien/mat tien coc,Nguoi thue tro - nha nho,50 moc gia re - dan khong khoan - chiu luc on,Chat luong keo tuy be mat tuong - tuong son bong de bong,"Mon duoi 20k dang mua; nha tro; meo tan dung khong gian",2026-07-07,CO
P06,Ke dung gia vi/hanh toi dan tuong JYoohome,Nha bep/Sap xep,26000,,CAN KIEM TRA,CAN KIEM TRA,30k+/thang,4.8,JYoohome,CAN KIEM TRA,https://s.shopee.vn/903OFkGUy4,Mat bep chat kin chai lo dau mam muoi,Nguoi nau an - bep nho,Dan tuong khong khoan - chiu tai 10kg - mat bep thong thoang,Keo dan can be mat sach kho - tai trong co gioi han,"Meo bep gon 26k; goc bep nha mau; do re dang tien",2026-07-07,KHONG
P07,Ke dung bat dia tren bon rua (1-2 tang),Nha bep/Sap xep,CAN KIEM TRA,,CAN KIEM TRA,CAN KIEM TRA,CAN KIEM TRA,CAN KIEM TRA,CAN KIEM TRA,CAN KIEM TRA,https://s.shopee.vn/AAFLcb9aUo,Chen bat rua xong dong nuoc lenh lang mat ban,Gia dinh - bep nho,Uop rao chen ngay tren bon - tiet kiem mat ban,Chua kiem tra gia/danh gia - can xac nhan truoc khi day manh,"Meo sap xep bep; combo voi ke gia vi",2026-07-07,KHONG
P08,Tui hut chan khong PiHome (kem may hut sieu toc),Bao quan/Nha bep,13900,,CAN KIEM TRA,CAN KIEM TRA,CAN KIEM TRA,4.9,PiHome,CAN KIEM TRA,https://s.shopee.vn/6L2dDqLmdM,Do an dong lanh chiem cho - de tu lanh bua,Nguoi tru dong do an - nha nho,Hut chan khong tiet kiem cho - kem may hut - gia re,May hut nho can pin/sac - tui dung 1 lan,"Meo tiet kiem cho tu lanh; nha gon; do re gay to mo",2026-07-07,KHONG
P09,May hut bui cam tay dodoto Lux Air V5 (30.000Pa),Don dep/Dien gia dung,435000,,CAN KIEM TRA,CAN KIEM TRA,40k+/thang,4.9,dodoto,CAN KIEM TRA,https://s.shopee.vn/60PmpEN3JK,Bui ban phim/khe ghe/goc kho hut bang choi thuong,Dan van phong - nha co thu cung - o to,Luc hut manh 30000Pa - cam tay tien - hut khe nho,Don gia cao - can can nhac ngan sach - pin co han,"Review ky mon don gia cao; nen-khong nen mua; hoa hong tot",2026-07-07,KHONG
P10,Dung cu xay toi ot cam tay LocknLock 180ml,Nha bep/Dung cu,82700,,CAN KIEM TRA,CAN KIEM TRA,40k+/thang,4.9,LocknLock,CAN KIEM TRA,https://s.shopee.vn/5fmwQcOJzI,Bam toi ot lau - dao thot dinh mui hang,Nguoi nau an - so cay mat,Giat day la xay nhuyen - thuong hieu uy tin - de rua,Dung tay keo day - dung tich nho 180ml,"Video xay toi 3 giay; do bep vui tay; thuong hieu uy tin",2026-07-07,KHONG
